source,target,src_word_len,tgt_word_len,src_char_len,tgt_char_len,char_ratio,word_ratio
Том үтүөмсүк киһи.,том кичливый человек.,3,4,18,21,1.1666666666666667,1.3333333333333333
Мин киниттэн үбүлэнэн үөрэммитим.,я выучился на его средства.,4,6,33,27,0.8181818181818182,1.5
Оҕонньор кырдьан наһаа үгдэрийбит.,старик ослабел от старости.,4,5,34,27,0.7941176470588235,1.25
Үгүһү да оҥоруо.,он ещё многое сделает.,3,5,16,22,1.375,1.6666666666666667
"Үгүс тыл сымсах, аҕыйах тыл минньигэс.","много слов — горько, мало слов — сладко.",6,10,38,40,1.0526315789473684,1.6666666666666667
Уол үгүстүк ыарытар.,мальчик часто болеет.,3,4,20,21,1.05,1.3333333333333333
Бу оҕо оонньуута буолбатах.,это не пустяки.,4,4,27,15,0.5555555555555556,1.0
Том оҕотугар түспүт.,том впал в детство.,3,5,20,19,0.95,1.6666666666666667
Мария элбэх оҕолоох ийэ.,мария - многодетная мать.,4,5,24,25,1.0416666666666667,1.25
Хаһан кэлэҕин?,когда ещё приедешь?,2,4,14,19,1.3571428571428572,2.0
Оҕотук санаам уурайда.,я остепенился.,3,3,22,14,0.6363636363636364,1.0
Оҕотук санаам уурайда.,мои детские мысли прошли.,3,5,22,25,1.1363636363636365,1.6666666666666667
Букатын наадата суох.,вовсе не нужно.,3,4,21,15,0.7142857142857143,1.3333333333333333
Онно быйыл эһэ баар буолбут.,в этом году там появились медведи.,5,7,28,34,1.2142857142857142,1.4
Бүгүн Том куоракка баар буолбут.,сегодня том уже в городе.,5,6,32,25,0.78125,1.2
Наадалаах кэмҥэ суох буолан иһэриҥ баар эбээт.,в нужное время ты всегда отсутствуешь.,7,7,46,38,0.8260869565217391,1.0
Ити курдук этэриҥ баар ээт!,и надо же тебе так говорить!,5,7,27,28,1.037037037037037,1.4
Саҥара охсубатыҥ баар ээ.,ты никогда сразу же не отвечаешь.,4,7,25,33,1.32,1.75
Букатын аккаастаан кэбиһиэм баар ээ.,"возможно, я совсем откажусь.",5,6,36,28,0.7777777777777778,1.2
Дьиэттэн тахсыа суохха баар этэ.,не следовало бы выходить из дома.,5,7,32,33,1.03125,1.4
Кинини кулгааҕын үргүөх баар этэ.,надо бы надрать ему уши.,5,6,33,24,0.7272727272727273,1.2
Таҥара баарына!,ей богу!,2,3,15,8,0.5333333333333333,1.5
Миэхэ саҥа кинигэ баар.,у меня есть новая книга.,4,6,23,24,1.0434782608695652,1.5
Кылааска сүүрбэ үөрэнээччи баар.,в классе присутствует двадцать учеников.,4,6,32,40,1.25,1.5
"Сатана баара, бостуой сөбүлэһэммин.","чёрт побери, зря я согласился.",4,7,35,30,0.8571428571428571,1.75
"Сордоох баара, итини билбэт.","а он, несчастный, этого не знает.",4,9,28,33,1.1785714285714286,2.25
"Орой төбөт баара, букатын куттаммат!","шалунишка какой, совсем не боится!",5,7,36,34,0.9444444444444444,1.4
Төннөн кэпсэтиэх баара.,надо было бы вернуться и поговорить.,3,7,23,36,1.565217391304348,2.3333333333333335
Кини наадыйдаҕына кэлиэ баара дуо!,"когда нужно, его не бывает!",5,7,34,27,0.7941176470588235,1.4
Киһиргиэ баара дуо?,"он что, хвастаться будет?",3,6,19,25,1.3157894736842106,2.0
Ону кыайыам баара дуо?,разве я одолею это?,4,5,22,19,0.8636363636363636,1.25
Барарбыт баара эрэ биир чаас хаалла.,до нашего отправления остался всего-навсего час.,6,7,36,48,1.3333333333333333,1.1666666666666667
"Массыынаны биэрбиттэр, ону баара бэйэбит сатаан туһамматыбыт.","нам выделили машину, а мы, какая досада, не сумели её использовать.",7,15,61,67,1.098360655737705,2.142857142857143
Кэлбиппит баара-суоҕа икки хонно.,мы приехали всего лишь два дня назад.,4,8,33,37,1.121212121212121,2.0
Харчым баара-суоҕа ити.,вот все мои деньги.,3,5,23,19,0.8260869565217391,1.6666666666666667
Биһиги суруйбуппут баараа.,не мы же писали это.,3,6,26,20,0.7692307692307693,2.0
Эн сыыспытыҥ баараа.,не ты же ошибся.,3,5,20,16,0.8,1.6666666666666667
"Баҕар, хомуйума, мин мөҥүллүөм баараа.","не хочешь, не убирай, не меня же будут ругать.",5,12,38,46,1.2105263157894737,2.4
Уол биллэ-көстө баараҕадыйбыт.,юноша заметно возмужал.,3,4,30,23,0.7666666666666667,1.3333333333333333
Ким билбитэ баарай!?,yes кто же знал!?,3,6,20,17,0.85,2.0
Мин диэбитим баарай.,не я же сказал.,3,5,20,15,0.75,1.6666666666666667
Мин эрэ харчыны ылбытым баарай.,не только я брал взятку.,5,6,31,24,0.7741935483870968,1.2
Хайдах гыммыт киһи ситиһиэ баарай?,как же ему отомстить?,5,5,34,21,0.6176470588235294,1.0
Туох истиэ-көрүө баарай.,никто не поможет.,3,4,24,17,0.7083333333333334,1.3333333333333333
Дьэ тугу этиэҥ баарай!,ничего не скажешь!,4,4,22,18,0.8181818181818182,1.0
Баардаах эрээригин биэрбэккин.,"у тебя есть что дать, но ты не даёшь.",3,11,30,37,1.2333333333333334,3.6666666666666665
Тыал баарыстаан өрүһү нэһиилэ туораатыбыт.,из-за встречного ветра мы с трудом переплыли реку.,5,9,42,50,1.1904761904761905,1.8
Харчы ахсааны сөбүлүүр.,деньги любят счёт.,3,4,23,18,0.782608695652174,1.3333333333333333
Алтан биир харчыга турбат.,гроша медного не стоит.,4,5,26,23,0.8846153846153846,1.25
Алтан биир харчыга турбат.,гроша ломаного не стоит.,4,5,26,24,0.9230769230769231,1.25
Харчы уҥуоҕун үлтү түспүт.,он разбил себе коленку.,4,5,26,23,0.8846153846153846,1.25
Харчылаах эрэй таҕыста.,затрачен большой труд.,3,4,23,22,0.9565217391304348,1.3333333333333333
Хара тыыммын харыстаа.,защити бедную душу мою.,3,5,22,23,1.0454545454545454,1.6666666666666667
Бу ат уоҕа дьэ хараата.,эта норовистая лошадь наконец-то стала смирней.,5,7,23,47,2.0434782608695654,1.4
Сүөһүлэргин киминэн эмит харайтар.,попроси кого-нибудь присмотреть за вашим скотом.,4,7,34,48,1.411764705882353,1.75
"Хаар хараарар, харалдьык тахсар.","снег тает, выступают проталины.",4,6,32,31,0.96875,1.5
Наһаа харамсыйыма.,ты не очень жадничай.,2,5,18,21,1.1666666666666667,2.5
Аламай күнүм хараҥарда.,ласковое моё солнце помрачилось.,3,5,23,32,1.391304347826087,1.6666666666666667
Кини хостору барытын харбаталаата.,она подмела все комнаты.,4,5,34,24,0.7058823529411765,1.25
Кини хостору барытын харбаталаата.,он подмёл все комнаты.,4,5,34,22,0.6470588235294118,1.25
Кинини халлаан таҥараҕа харахтаппат.,её не показывают даже в ясную погоду.,4,8,36,37,1.0277777777777777,2.0
Күн сирэ күндү.,мир под солнцем до́рог.,3,5,15,23,1.5333333333333334,1.6666666666666667
Күн сирэ күндү.,мир под солнцем дорог.,3,5,15,22,1.4666666666666666,1.6666666666666667
Күнү күннүктээн айаннаатыбыт.,мы ехали целыми днями.,3,5,29,22,0.7586206896551724,1.6666666666666667
Күн-дьыл биллибэккэ ааһар.,время идёт незаметно.,3,4,26,21,0.8076923076923077,1.3333333333333333
Күн-дьыл биллибэккэ ааһар.,дни и годы текут незаметно.,3,6,26,27,1.0384615384615385,2.0
Булчуттар күннээтилэр.,охотникам очень повезло.,2,4,22,24,1.0909090909090908,2.0
Кини күннээн сылдьар.,он доволен и блаженствует.,3,5,21,26,1.2380952380952381,1.6666666666666667
Кини күннээн сылдьар.,у него большая удача.,3,5,21,21,1.0,1.6666666666666667
Сүгүн дьүгээр араҕыа суоҕа.,по-доброму он не отстанет.,4,5,27,26,0.9629629629629629,1.25
Дьүгээр эрэйдэнэр.,он зря мучается.,2,4,18,16,0.8888888888888888,2.0
Дьүгээр кэлбэтэх.,он приходил не зря.,2,5,17,19,1.1176470588235294,2.5
Таҥаһа-саба дьүдэйбит.,он стал неряшлив в одежде.,2,6,22,26,1.1818181818181819,3.0
Түүлүм дьүдэйэн барда.,мне стали сниться плохие сны.,3,6,22,29,1.3181818181818181,2.0
Балык дьүдэйбит.,рыба испортилась.,2,3,16,17,1.0625,1.5
Эн кинини олус дьүдэтэн кэпсээтиҥ.,"ты изобразил его хуже, чем он есть.",5,9,34,35,1.0294117647058822,1.8
Эти дьүдэппиттэр.,они испортили мясо.,2,4,17,19,1.1176470588235294,2.0
Дьүдэхтик таҥныбыт.,он одет неряшливо.,2,4,19,18,0.9473684210526315,2.0
Атым иннин диэки дьүккүһэр.,конь мой рвётся вперёд.,4,5,27,23,0.8518518518518519,1.25
Дьүлэйэ бэргээбит.,глухота у него усилилась.,2,5,18,25,1.3888888888888888,2.5
Маныаха дьүөрэлии оҥор.,сделай это по образцу того.,3,6,23,27,1.173913043478261,2.0
Кинилэри кытары дьүрү бииргэ да сылдьыбытым суох.,я с ними даже и вместе не бывал.,7,9,49,32,0.6530612244897959,1.2857142857142858
Туох да дьүүлэ биллибэт.,в этом no никакого толку.,4,6,24,25,1.0416666666666667,1.5
Үтүө дьүһүммүн көрүөххүт.,вы ещё увидите меня в лучшем виде.,3,8,25,34,1.36,2.6666666666666665
Үтэһэтэ туолбут.,настал час расплаты.,2,4,16,20,1.25,2.0
Тула өттүлэриттэн үтүрүллүбүттэр.,их притесняли со всех сторон.,3,6,33,29,0.8787878787878788,2.0
Былыр ойуун абааһыны үтэйэр дииллэрэ.,"в старину говаривали, что шаман прогоняет злого духа;",5,10,37,53,1.4324324324324325,2.0
Уу эттиги өрө үтэйэр.,вода выталкивает погружённое в неё тело.,4,7,21,40,1.9047619047619047,1.75
Том суукка үҥэр.,том подал жалобу в суд.,3,6,16,23,1.4375,2.0
"Ити үҥэр муоһум, тэбэр туйаҕым.","это мои выставленные рога, лягающие копыта.",5,8,31,43,1.3870967741935485,1.6
Бэрэбинэни күөлгэ үҥкүрүттүлэр.,бревно скатили к озеру.,3,5,31,23,0.7419354838709677,1.6666666666666667
Том элбэхтик үлэлиибин диэн үҥсэргиир.,"том сетует, что много работает.",5,7,38,31,0.8157894736842105,1.4
Мэнээк үөхсүмэ.,без причины не ругайся.,2,5,15,23,1.5333333333333334,2.5
Оҕолор хос иһин үөдэн-таһаан түһэрбиттэр.,дети учинили в комнате беспорядок.,5,6,41,34,0.8292682926829268,1.2
Кини үөл мастан үөннээн сиэбит.,он ест насекомых с растущего дерева.,5,7,31,36,1.1612903225806452,1.4
Үөл мастан үөннээн сиэбит.,он ест насекомых с растущего дерева.,4,7,26,36,1.3846153846153846,1.75
Ол түбэлтэ-ни үөл-дьүөл өйдүүбүн.,тот случай я помню очень смутно.,4,7,33,32,0.9696969696969697,1.75
Ол түбэлтэни үөл-дьүөл өйдүүбүн.,тот случай я помню очень смутно.,4,7,32,32,1.0,1.75
Үөлүллүбүт балык үчүгэй амтаннаах буолуо.,жареная на рожне рыба бывает очень вкусной.,5,8,41,43,1.048780487804878,1.6
Оҕолор учууталларын тула үөмэхтэстилэр.,дети столпились вокруг учителя.,4,5,39,31,0.7948717948717948,1.25
Бу уу үөнэ-көйүүрэ элбэх.,в этом водоёме много разной мелкой живности.,4,8,25,44,1.76,2.0
Кини үөнэ-көйүүрэ бүппэт.,он продолжает свой каверзы.,3,5,25,27,1.08,1.6666666666666667
Кини үөрбүт-көппүт ахан.,он очень обрадовался.,3,4,24,21,0.875,1.3333333333333333
Үрдүк дьол биһиэхэ үөрдүстэ.,к нам пришло большое счастье.,4,6,28,29,1.0357142857142858,1.5
Хаастар бараары үөрдээбиттэр.,"гуси собрались в стаю, чтобы улететь.",3,8,29,37,1.2758620689655173,2.6666666666666665
Атыыр биэ бөҕөнү үөрдээбит.,жеребец собрал большое стадо кобылиц.,4,6,27,37,1.3703703703703705,1.5
Миигин улаханнык үөртэ.,он меня очень обрадовал.,3,5,23,24,1.0434782608695652,1.6666666666666667
Үөрүү-көтүү бөҕө буолла.,наступило всеобщее ликование.,3,4,24,29,1.2083333333333333,1.3333333333333333
Үөрэ-дьүөрэ үктээн барда.,"он пошёл ритмичным, скорым шагом.",3,7,25,33,1.32,2.3333333333333335
Кини эрэйгэ үөрэммит.,он привык к трудностям.,3,5,21,23,1.0952380952380953,1.6666666666666667
Үөрэнии — син биир сүүрүгү утары эрдинэр кэриэтэ.,"учение — всё равно, что плыть против течения.",8,10,49,45,0.9183673469387755,1.25
Кини аатырбыт физик үөрэнээччитэ.,он ученик знаменитого физика.,4,5,33,29,0.8787878787878788,1.25
"Күн сири сырдатар, үөрэх — киһини.","солнце озаряет землю, учение — человека.",6,8,34,40,1.1764705882352942,1.3333333333333333
Эйиэхэ бу үөрэх буолуо.,тебе это послужит уроком.,4,5,23,25,1.0869565217391304,1.25
Үөрэҕэ суох киһи хараҕа суоҕун кэриэтэ.,неграмотный человек подобен слепому.,6,5,39,36,0.9230769230769231,0.8333333333333334
Сүүс үөрэҕэ суохха биир үөрэх-тээҕи бэриллибэт.,за сто неграмотных не дадут одного грамотного.,6,8,47,46,0.9787234042553191,1.3333333333333333
Үөһүм да быстыа буоллар.,во что бы то ни стало.,4,7,24,22,0.9166666666666666,1.75
Үөһүм да быстыа буоллар.,хоть тресни.,4,3,24,12,0.5,0.75
Үөһүм да быстыа буоллар.,yes хоть у меня аорта лопнет.,4,7,24,29,1.2083333333333333,1.75
Үөс-батааска биэрбэккэ илдьэ бара турдулар.,"не дав опомниться, они увели его с собой.",5,10,43,41,0.9534883720930233,2.0
Сүөһү бөҕөнү үөскэппиттэр.,они развели много рогатого скота.,3,6,26,33,1.2692307692307692,2.0
Бу барыта дьалаҕай быһыыттан үөскүүр.,всё это порождается халатностью.,5,5,37,32,0.8648648648648649,1.0
Биир өбүгэттэн үөскээбиттэр.,они произошли от одного предка.,3,6,28,31,1.1071428571428572,2.0
Кыыс куоракка үөскээбит.,девушка выросла в городе.,3,5,24,25,1.0416666666666667,1.6666666666666667
Киһи да бөҕө үөскүүр эбит!,ну и уродился же человек!,5,6,26,25,0.9615384615384616,1.2
Кустар үөстээ-биттэр.,утки уплыли далеко от берега.,2,6,21,29,1.380952380952381,3.0
Түүнү мөкүчүктээн мээчик сҥос-тубут.,"скатав шерсть в комок, он сделал себе мячик.",4,10,36,44,1.2222222222222223,2.5
Күн аайы эбиллибэт билии көҕүрүүр.,"знание, не дополняемое ежедневно, убывает.",5,8,34,42,1.2352941176470589,1.6
"Санаа баҕарар да, күүс тиийбэт.","желание есть, yes сил не хватает.",5,8,31,33,1.064516129032258,1.6
Сахсырҕа саҥата да иһиллэр чуумпута.,"такая тишина, что слышно даже жужжание мухи.",5,9,36,44,1.2222222222222223,1.8
Чааскылаах уу дьалкыйбат.,не расплещется чаша с водой.,3,6,25,28,1.12,2.0
Халлааҥҥа туойан кэбистэ.,отпел в небо.,3,4,25,13,0.52,1.3333333333333333
Халлааҥҥа туойан кэбистэ.,лишился навсегда.,3,3,25,17,0.68,1.0
"Баар хаалбат, мал холлубат.","имеющееся пригодится, добро понадобится.",4,6,27,40,1.4814814814814814,1.5
"Саары баттаһар, саппай уопсар.","вместе бежали, одновременно прибыли.",4,6,30,36,1.2,1.5
Киһи буруйа ааспат — халлаан түргэнник көнөр.,"скорее небо прояснится, чем вина человека забудется.",7,9,45,52,1.1555555555555554,1.2857142857142858
"Онойон турар оҥоруугуттан ордуоҥ кэриэтэ, ох сааттан ордуоҥ.","от стрелы увернёшься, но от судьбы не уйдёшь.",8,10,60,45,0.75,1.25
"Бараммыт баһыллыбат, тохтубут туолбат.","кончившееся не черпается, пролитое не пополняется.",4,8,38,50,1.3157894736842106,2.0
"Барбат киһитигэр барбат, биэрбэт киһитигэр биэрбэт.","неимущему ничего не приходит, кому не дано, у того не будет.",6,14,51,60,1.1764705882352942,2.3333333333333335
"Барбат киһитигэр барбат, биэрбэт киһитигэр биэрбэт.",голым родился — голым и умрёшь.,6,7,51,31,0.6078431372549019,1.1666666666666667
"Кимиэхэ хойуу, кимиэхэ убаҕас.","кому густо, кому пусто.",4,6,30,23,0.7666666666666667,1.5
"Токко сыа да сымсах, ааска уу да минньигэс.","сытому и жир не вкусен, голодному и вода сладка.",8,11,43,48,1.1162790697674418,1.375
"""Суоҕу"" суоруоҥ дуо?",разве вырубишь no,3,3,20,17,0.85,1.0
Баай үбэ барыта — бар дьоммут сүмэтэ.,деньги богача — это соки соотечественников.,7,7,37,43,1.162162162162162,1.0
Оҕонньордоох эмээхсин олорбуттара үһү.,жили-были старик со старухой.,4,5,38,29,0.7631578947368421,1.25
Дьэ биллэҕим үһү!,"наконец-то, я и узнал!",3,6,17,22,1.2941176470588236,2.0
Манна улуу күөл баара үһү.,"здесь, говорят, было огромное озеро.",5,8,26,36,1.3846153846153846,1.6
Кэлбит үһү.,"говорят, он приехал.",2,5,11,20,1.8181818181818181,2.5
"Кини буолуо уонна, ким үһү.","наверняка это был он, а кто же ещё.",5,10,27,35,1.2962962962962963,2.0
"Суох аата суох, хайыыр үһүгүт.","no значит, no ничего не поделаешь.",5,8,30,34,1.1333333333333333,1.6
"Суох аата суох, хайыыр үһүгүт.","no значит, no ничего не сделаете.",5,8,30,33,1.1,1.6
Аны биэрэр да үһүбүөт.,больше ни за что не дадим.,4,7,22,26,1.1818181818181819,1.75
Маны өлөрүгэр анаабыта.,он завещал это перед смертью.,3,6,23,29,1.2608695652173914,2.0
Бу мал анабыла маннык.,таково назначение этой вещи.,4,5,22,28,1.2727272727272727,1.25
Эһэ анаҕаһын көрдөрдө.,медведь показал свои клыки.,3,5,22,27,1.2272727272727273,1.6666666666666667
Аналым оннук буоллаҕа.,"такова, значит, моя судьба.",3,7,22,27,1.2272727272727273,2.3333333333333335
"Ааны анньыалаата да, аһыллыбата.","он несколько раз толкнул дверь, но она не поддалась.",4,11,32,52,1.625,2.75
Кини саҥа сонун анньынан кэбиспит.,он примерил себе новую шубу.,5,6,34,28,0.8235294117647058,1.2
Аны хойутаабат буол.,впредь не опаздывай.,3,4,20,20,1.0,1.3333333333333333
Аны саас кэлиэм.,я приеду нынешней весной.,3,5,16,25,1.5625,1.6666666666666667
Аны сымыйалыырыҥ буолаарай?,"может, ты неправду говоришь?",3,6,27,28,1.037037037037037,2.0
"Аны кэлэн, хаһан ситээри!",всё равно не догонишь!,4,5,25,22,0.88,1.25
"Оҕонньордоро аны туран, аатын умнан кээспит.",и вот вдруг старик позабыл своё собственное имя.,6,9,44,48,1.0909090909090908,1.5
Аныаха диэри утуйа иликкит дуу?,вы до сих пор ещё не спите?,5,8,31,27,0.8709677419354839,1.6
Уутугар аҥаарыйбыт.,он ещё сонный.,2,4,19,14,0.7368421052631579,2.0
Уутугар аҥаарыйбыт.,он ещё не очнулся после сна.,2,7,19,28,1.4736842105263157,3.5
Уутугар аҥаарыйбыт.,он ещё не очнулся.,2,5,19,18,0.9473684210526315,2.5
Аҥара хаалбыт.,он сильно похудел.,2,4,14,18,1.2857142857142858,2.0
Килиэби аҥардастыбыт.,мы поделили хлеб между собой пополам.,2,7,21,37,1.7619047619047619,3.5
"Акка ыҥыырдаатахха, аҥардастаабат тэҥнэр.","если навьючить ими лошадь, ни один не перетянет.",4,10,41,48,1.170731707317073,2.5
"Акка ыҥыырдаатахха, аҥардастаабат тэҥнэр.",они очень похожи друг на друга.,4,7,41,31,0.7560975609756098,1.75
Аҥардастыы мөҥөр.,он только бранится.,2,4,17,19,1.1176470588235294,2.0
Аҥардастыы мөҥөр.,не даёт и слова сказать.,2,6,17,24,1.411764705882353,3.0
Дириҥ оҥхой аҥас гынна.,внезапно разверзлась глубокая пропасть.,4,5,23,39,1.6956521739130435,1.25
Бу киһи аҥныыта бүппэт.,этот человек очень долго собирается.,4,6,23,36,1.565217391304348,1.5
Үтүлүктэрим аҥы-аҥылар.,у меня рукавицы разные.,2,5,23,23,1.0,2.5
Үтүлүктэрим аҥы-аҥылар.,у меня рукавицы на одну руку.,2,7,23,29,1.2608695652173914,3.5
Үтүлүктэрим аҥы-аҥылар.,у меня рукавицы от разных пар.,2,7,23,30,1.3043478260869565,3.5
Икки аҥы сүүрдүлэр.,они разбежались в разные стороны.,3,6,19,33,1.736842105263158,2.0
Итинэн оҥойон-чоҥойон барыам суоҕа.,от этого я не обеднею.,4,6,35,22,0.6285714285714286,1.5
Итинэн оҥойон-чоҥойон барыам суоҕа.,это не будет для меня большим убытком.,4,8,35,38,1.0857142857142856,2.0
Иннибитигэр дириҥ иин оҥойон көһүннэ.,впереди зияла глубокая яма.,5,5,37,27,0.7297297297297297,1.0
Истиэнэҕэ үүт оҥойон көстөр.,в стене зияла сквозная дыра.,4,6,28,28,1.0,1.5
Отонноотоххо оҥоойук туолар.,ягодка к ягодке — лукошко наполнится.,3,7,28,37,1.3214285714285714,2.3333333333333335
Отонноотоххо оҥоойук туолар.,капля по капле — море будет.,3,7,28,28,1.0,2.3333333333333335
Мин кинини сөбүлүө оҥоробун.,"я полагаю, что он согласится.",4,7,28,29,1.0357142857142858,1.75
Оҥорбучча маны эмиэ оҥор.,"если сделал то, сделай и это.",4,8,25,29,1.16,2.0
Элбэх сыарҕалары оҥортолоотулар.,они изготовили много саней.,3,5,32,27,0.84375,1.6666666666666667
Ийэлэрэ оҕолор ороннорун оҥортоото.,мать постелила всем детям постели.,4,6,35,34,0.9714285714285714,1.5
Дьоллооҕунан оҥостунабын.,я считаю себя счастливым.,2,5,25,25,1.0,2.5
Итини кини үчүгэйим оҥостор быһыылаах.,"он, видимо, думает, что это хорошо.",5,10,38,35,0.9210526315789473,2.0
Оҥхой сир уута суох турбат.,овраг без воды не бывает.,5,6,27,25,0.9259259259259259,1.2
"Оҕо—киһи дьоло, эрэлэ.",ребёнок — счастье и надежда человека.,3,7,22,37,1.6818181818181819,2.3333333333333335
Оҕотугар түспүт.,он впал в детство.,2,5,16,18,1.125,2.5
Кини барыах тустаах.,он должен ехать.,3,4,20,16,0.8,1.3333333333333333
Армияҕа барар сааһа ситэн эрэр киһи допризывник ааттанар.,"юноша, ещё не достигший возраста для службы в армии, называется допризывником.",8,14,57,78,1.368421052631579,1.75
Ытым аата Харабыл.,кличка моей собаки страж.,3,5,18,25,1.3888888888888888,1.6666666666666667
Үтүөлээх учууталын аатын биэрбиттэр.,ему присвоили звание заслуженного учителя республики.,4,7,36,53,1.4722222222222223,1.75
Үтүөлээх учууталын аатын биэрбиттэр.,ей присвоили звание заслуженного учителя республики.,4,7,36,52,1.4444444444444444,1.75
Бу малы Казанҕа сылдьыбыт ааппар атыыластым.,эту вещь я купил в память о пребывании в казани.,6,11,44,48,1.0909090909090908,1.8333333333333333
Аҕатын сүрэхтээх аатыгар сүрэҕэ суох уол төрөөбүт.,в противоположность работяге отцу сын оказался лентяем.,7,8,50,55,1.1,1.1428571428571428
Аата эрэ үлэлиир.,он работает только для виду.,3,6,17,28,1.6470588235294117,2.0
Илим аатыттан ааспыт.,сеть стала ни к чему непригодной.,3,7,21,33,1.5714285714285714,2.3333333333333335
Илим аатыттан ааспыт.,сеть совсем изорвалась.,3,4,21,23,1.0952380952380953,1.3333333333333333
Аатыттан суох.,и в помине no,2,4,14,13,0.9285714285714286,2.0
Аҕабыт ойоҕо аакка түһэр.,жена священника в ад попадает.,4,6,25,30,1.2,1.5
"Таптал баай хоту, аат-суол да хоту буолбат.",любят не ради богатства и не ради громкой славы.,7,10,43,48,1.1162790697674418,1.4285714285714286
"Суох аата суох, көрдөөмөҥ.",no значит — no не ищите.,4,7,26,24,0.9230769230769231,1.75
Билбэт аата мөккүһүмэ.,"не знаешь, не спорь.",3,6,22,20,0.9090909090909091,2.0
Кыайбат аата көтөҕө сатыыллар.,"они силятся поднять, хотя и не могут.",4,9,30,37,1.2333333333333334,2.25
"Аата, утуйбута тугун кытаанаҕай!","ну и крепко же он спит, однако!",4,9,32,31,0.96875,2.25
"Аата, кини айаҕыттан кыһыл көмүс тохтуо буоллаҕай!","молчит, будто у него изо рта серебро посыплется!",7,10,50,48,0.96,1.4285714285714286
Аатын ааттаа.,назови его имя.,2,4,13,15,1.1538461538461537,2.0
Оҕоҕутун ким диэн ааттаатыгыт?,какое имя вы дали своему ребёнку?,4,7,30,33,1.1,1.75
Оҕоҕутун ким диэн ааттаатыгыт?,как вы назвали своего ребёнка?,4,6,30,30,1.0,1.5
Кинини күүстээх диэн ааттыыллар.,его считают сильным.,4,4,32,20,0.625,1.0
Маны Том диэн ааттаах киһи кэпсээбитэ.,это рассказал человек по имени том.,6,7,38,35,0.9210526315789473,1.1666666666666667
"Дойду сурахтаах, алаас ааттаах.",каждая страна имеет свою славу.,4,6,31,31,1.0,1.5
Эр киһи ааттаах биир да суох.,там no ни одного мужчины.,6,6,29,25,0.8620689655172413,1.0
Мас онно үүммэт ааттаах.,"говорят, там и деревья не растут.",4,8,24,33,1.375,2.0
Мас онно үүммэт ааттаах.,едва ли можно верить этому.,4,6,24,27,1.125,1.5
Ону кини эрэ билбит ааттаах.,об этом узнал якобы только он.,5,7,28,30,1.0714285714285714,1.4
Снайпер ааттаах!,а ещё снайпером называется!,2,5,16,27,1.6875,2.5
Туох ааттааҕын мээрилээн хааллыҥ?,что это ты повторяешь всё время одно и то же?,4,11,33,45,1.3636363636363635,2.75
Тылбар турбатахпына сымыйаччы ааттаныам.,"если я не сдержу слова, буду считаться лжецом.",4,10,40,46,1.15,2.5
Ааппытын ааттаһан билсистибит.,"мы познакомились, назвав друг другу свои имена.",3,9,30,47,1.5666666666666667,3.0
Ааттаһан нэһиилэ аҕаллылар.,они его с трудом уговорили прийти.,3,7,27,34,1.2592592592592593,2.3333333333333335
Олус да ааттатаҕын!,и любишь же ты заставлять себя упрашивать!,3,8,19,42,2.210526315789474,2.6666666666666665
Ааттаһардыы көрдө.,он смотрел умоляюще.,2,4,18,20,1.1111111111111112,2.0
Кини күүстээҕинэн аатырар.,он слывёт силачом.,3,4,26,18,0.6923076923076923,1.3333333333333333
Кини күүстээҕинэн аатырар.,он известен как силач.,3,5,26,22,0.8461538461538461,1.6666666666666667
Ол киһини наһаа аатырдаллар.,его слишком расхваливают.,4,4,28,25,0.8928571428571429,1.0
Кур бэйэм кубулуйбакка олоробун.,"каким я был, таким и остался.",4,8,32,29,0.90625,2.0
Кур бэйэм кубулуйбакка олоробун.,я совсем не изменился.,4,5,32,22,0.6875,1.25
"Баһа байҕал, кутуруга куиаар.","голова его — море, хвост — безвестная даль.",4,10,29,43,1.4827586206896552,2.5
"Баһа байҕал, кутуруга куиаар.",он предприимчив и не боится риска.,4,7,29,34,1.1724137931034482,1.75
Куйа таһаҕастаах.,у него очень мало вещей.,2,6,17,24,1.411764705882353,3.0
Күн куйааран эрэр.,день становится жарким.,3,4,18,23,1.2777777777777777,1.3333333333333333
Күнү быһа куйаарар.,он заливается весь день.,3,5,19,24,1.263157894736842,1.6666666666666667
Куйахата күүрдэ.,у него волосы встали дыбом.,2,6,16,27,1.6875,3.0
Кутуругун куйбаҥнатта.,собака завиляла хвостом.,2,4,22,24,1.0909090909090908,2.0
Ону-маны куйуурдуурун сөбүлүүр.,он любит выклянчивать что-нибудь.,3,5,31,33,1.064516129032258,1.6666666666666667
От охсон куластанар.,он косит широкими взмахами.,3,5,20,27,1.35,1.6666666666666667
"Хаптаҕай кулгаах истибэтэх, хара харах көрбөтөх.","плоским ухом не услышанное, чёрным глазом не увиденное.",6,10,48,55,1.1458333333333333,1.6666666666666667
"Хаптаҕай кулгаах истибэтэх, хара харах көрбөтөх.",вот уж диковинка какая!,6,5,48,23,0.4791666666666667,0.8333333333333334
"Хаптаҕай кулгаахтаах истибэтин, хара харахтаах көрбөтүн.",пусть не услышит плоскоухий и не увидит черноглазый.,6,9,56,52,0.9285714285714286,1.5
"Хаптаҕай кулгаахтаах истибэтин, хара харахтаах көрбөтүн.",пусть это никому не будет известно.,6,7,56,35,0.625,1.1666666666666667
