source,target,src_word_len,tgt_word_len,src_char_len,tgt_char_len,char_ratio,word_ratio,dataset
Итинник буолбат буол.,никогда больше не поступай так.,3,6,21,31,1.4761904761904763,2.0,tatoeba
Оннук эрэ буоллун!,пусть будет только так!,3,5,18,23,1.2777777777777777,1.6666666666666667,tatoeba
Оннук эрэ буолбатын!,только бы не это!,3,5,20,17,0.85,1.6666666666666667,tatoeba
Оннук эрэ буолбатын!,только бы этого не случилось!,3,6,20,29,1.45,2.0,tatoeba
Сылдьар буолуҥ.,захаживайте к нам.,2,4,15,18,1.2,2.0,tatoeba
Сылдьар буолуҥ.,заходите к нам почаще.,2,5,15,22,1.4666666666666666,2.5,tatoeba
Ыарыһах аһаабыта буолла.,"больной сделал вид, что ест.",3,7,24,28,1.1666666666666667,2.3333333333333335,tatoeba
Өһүргэммитэ буола-буола!,он ещё обижается!,2,4,24,17,0.7083333333333334,2.0,tatoeba
Кини барбыта ыраатта буолбат дуо.,он ведь давным-давно уехал.,5,5,33,27,0.8181818181818182,1.0,tatoeba
Аны миигин билбэккит буолаарай?,"может, и меня не знаете, а?",4,9,31,27,0.8709677419354839,2.25,tatoeba
Манна Том саамай кутталлахыт киһи буолаарай.,"наверное, том здесь самый опасный человек.",6,8,44,42,0.9545454545454546,1.3333333333333333,tatoeba
Кутталыттан кута ыстанна.,от испуга у него душа в пятки ушла.,3,9,25,35,1.4,3.0,tatoeba
"Куттар хороммот, бастар бараммат.","льёшь - не убавляется, черпаешь - не кончается.",4,10,33,47,1.4242424242424243,2.5,tatoeba
Кини миигин олус куттаата.,он меня очень напугал.,4,5,26,22,0.8461538461538461,1.25,tatoeba
Абааһыны хаххан баһынан куттаабыкка дылы.,"это всё равно, что пугать чёрта головой филина.",5,10,41,47,1.146341463414634,2.0,tatoeba
Куттаҕас алдьархайы улаатыннарар.,трус преувеличивает опасность.,3,4,33,30,0.9090909090909091,1.3333333333333333,tatoeba
Куттаҕас алдьархайы улаатыннарар.,трус умножает опасность.,3,4,33,24,0.7272727272727273,1.3333333333333333,tatoeba
Кутталыгар кута куртаҕар түстэ.,от страха у него душа ушла в пятки.,4,9,31,35,1.1290322580645162,2.25,tatoeba
Күөл мууһа кутталламмыт.,лёд на озере стал опасно тонким.,3,7,24,32,1.3333333333333333,2.3333333333333335,tatoeba
Ыарыыта кутталламмыт.,его болезнь становится угрожающей.,2,5,21,34,1.619047619047619,2.5,tatoeba
Ыарыыта кутталламмыт.,её болезнь становится угрожающей.,2,5,21,33,1.5714285714285714,2.5,tatoeba
Куттамсахха турбут барыта тойон.,трусу всяк господин.,4,4,32,20,0.625,1.0,tatoeba
"Тэҥсик куттаммат, кэлбит килбигийбэт.","гонец не боится, прибывший не стесняется.",4,8,37,41,1.1081081081081081,2.0,tatoeba
"Тэҥсик куттаммат, кэлбит килбигийбэт.","для него важнее дело, из-за которого он прибыл.",4,10,37,47,1.2702702702702702,2.5,tatoeba
Куттас үйэтигэр сүүстэ өлөр.,трус в жизни сто раз умирает.,4,7,28,29,1.0357142857142858,1.75,tatoeba
Куттас бэйэтин күлүгүттэн куттанар.,трус и собственной тени боится.,4,6,35,31,0.8857142857142857,1.5,tatoeba
Кэччэгэй кутуйах кутуругар кэмнээн аһыыр.,"скупой ест, измеряя длиной мышиного хвоста.",5,8,41,43,1.048780487804878,1.6,tatoeba
Оннооҕор кутуйах хаһаастаах.,даже у мыши свои запасы есть.,3,7,28,29,1.0357142857142858,2.3333333333333335,tatoeba
Кумах суолга кутулунна.,дорога засыпана песком.,3,4,23,23,1.0,1.3333333333333333,tatoeba
Дьон хоско кутуллан киирдилэр.,люди заполнили комнату.,4,4,30,23,0.7666666666666667,1.0,tatoeba
Кутургуйа таптаабыт сиригэр тахсар.,"чирей вскакивает, где ему вздумается.",4,7,35,37,1.0571428571428572,1.75,tatoeba
Концерт кутуругун эрэ баттаатым.,я застал только конец концерта.,4,6,32,31,0.96875,1.5,tatoeba
Куһаҕан кутуруктаах.,плохое имеет свои последствия.,2,5,20,30,1.5,2.5,tatoeba
Куһаҕан кутуруктаах.,плохое бывает с хвостом.,2,5,20,24,1.2,2.5,tatoeba
Барар үһүгүн.,тебе велят идти.,2,4,13,16,1.2307692307692308,2.0,tatoeba
Кини буолуо уонна ким үһү.,"наверняка он, а кто же ещё.",5,8,26,27,1.0384615384615385,1.6,tatoeba
Диибин үһү!,говорю же!,2,3,11,10,0.9090909090909091,1.5,tatoeba
Билэллэр үһүө.,вряд ли они узнают.,2,5,14,19,1.3571428571428572,2.5,tatoeba
Аны кэлэн булар үһүбүөн.,теперь-то едва ли найду.,4,5,24,24,1.0,1.25,tatoeba
Албынныыр үһүө?,неужели обманет?,2,3,15,16,1.0666666666666667,1.5,tatoeba
Үһүөйэх киһи.,их всего лишь трое.,2,5,13,19,1.4615384615384615,2.5,tatoeba
Саҥа доҕордооҕор эргэ доҕор ордук.,старый друг лучше нового.,5,5,34,25,0.7352941176470589,1.0,tatoeba
Ыппын доҕор оҥостон олоробун.,собака разделяет моё одиночество.,4,5,29,33,1.1379310344827587,1.25,tatoeba
"Доҕор, хантан иһэҕин?","друг, откуда идёшь?",3,5,21,19,0.9047619047619048,1.6666666666666667,tatoeba
Туох сүрдээх этиҥэй доҕор?,что за страшный гром?,4,5,26,21,0.8076923076923077,1.25,tatoeba
Мин көрөн туруом суоҕа доҕор!,"ну, я ему спуску не дам!",5,8,29,24,0.8275862068965517,1.6,tatoeba
Ким билэр доҕор!,а кто его знает!,3,5,16,16,1.0,1.6666666666666667,tatoeba
"О, сор эбит доҕоор!","ох, что за наказание!",4,6,19,21,1.105263157894737,1.5,tatoeba
Бэйи доҕор!,ну погоди!,2,3,11,10,0.9090909090909091,1.5,tatoeba
Бэйи доҕор!,ну постой!,2,3,11,10,0.9090909090909091,1.5,tatoeba
Дьэ бэрт доҕор!,надо же быть такому!,3,5,15,20,1.3333333333333333,1.6666666666666667,tatoeba
Дьэ бэрт доҕор!,поди ж ты!,3,4,15,10,0.6666666666666666,1.3333333333333333,tatoeba
Ким доҕордоох — ол дьоллоох.,"кто имеет друзей, тот счастлив.",5,7,28,31,1.1071428571428572,1.4,tatoeba
Эйэҕэс киһи үгүс доҕордоох.,добрый человек имеет много друзей.,4,6,27,34,1.2592592592592593,1.5,tatoeba
Баай дьадыҥыны кытта доҕордоспот.,богатый с бедным не дружит.,4,6,33,27,0.8181818181818182,1.5,tatoeba
Илиитин итии чаанньыкка даҕайда.,он дотронулся рукой до горячего чайника.,4,7,32,40,1.25,1.75,tatoeba
Диэмэ даҕаны!,и не говори!,2,4,13,12,0.9230769230769231,2.0,tatoeba
Буолумуна даҕаны.,"конечно, так и должно быть.",2,7,17,27,1.588235294117647,3.5,tatoeba
Даҕаспытынан таҕыстылар.,они вышли следом друг за другом.,2,7,24,32,1.3333333333333333,3.5,tatoeba
Маны оҥорор дөбөҥ.,сделать это нетрудно.,3,4,18,21,1.1666666666666667,1.3333333333333333,tatoeba
Тымныйдахха ыалдьар дөбөҥ.,простудишься — заболеть легко.,3,5,26,30,1.1538461538461537,1.6666666666666667,tatoeba
Мантан куоракка тиийэр дөбөҥ.,отсюда скорее можно добраться до города.,4,7,29,40,1.3793103448275863,1.75,tatoeba
Үлэтин дөбөҥнүк бүтэрбит.,он быстро закончил свою работу.,3,6,25,31,1.24,2.0,tatoeba
Дөрүн-дөрүн сылдьар.,он приходит изредка.,2,4,20,20,1.0,2.0,tatoeba
Дөрүн-дөрүн сөтөллөр.,он покашливает.,2,3,21,15,0.7142857142857143,1.5,tatoeba
Бигэтик эрэн.,твёрдо надейся.,2,3,13,15,1.1538461538461537,1.5,tatoeba
Бигэтик иҥиннэр.,закрепи это прочно.,2,4,16,19,1.1875,2.0,tatoeba
Уһун бытыктара бигиир функцияны толороллор.,длинные усики рака выполняют осязательную функцию.,5,7,43,50,1.1627906976744187,1.4,tatoeba
Дуохтуур ыарыһах хоругун бигээн көрдө.,доктор пощупал пульс больного.,5,5,38,30,0.7894736842105263,1.0,tatoeba
Бөрө бидилгэҕи хабан өллө.,волк проглотил спицу с наживкой и сдох.,4,8,26,39,1.5,2.0,tatoeba
Ат бидилгэхтиир хаара түспүт.,"снег выпал такой, что лошадь вязнет.",4,8,29,36,1.2413793103448276,2.0,tatoeba
Быһах биилэннэ.,нож стал острым.,2,4,15,16,1.0666666666666667,2.0,tatoeba
Уолбут биирэ.,нашему сыну годик.,2,4,13,18,1.3846153846153846,2.0,tatoeba
Биир ылбайы сэттэтэ уоппукка дылы.,"это всё равно, что одного малька на семь частей делить.",5,12,34,55,1.6176470588235294,2.4,tatoeba
Кинилэр таҥастара биир.,у них одинаковая одежда.,3,5,23,24,1.0434782608695652,1.6666666666666667,tatoeba
Биир тылынан эттэххэ ити барыта сыыһа оҥоһуллубут.,"короче говоря, всё это сделано неверно.",7,8,50,39,0.78,1.1428571428571428,tatoeba
Итэҕэстэр бааллара биир үксүн итинэн быһаарыллар.,наличие недостатков во многом объясняется этим.,6,7,49,47,0.9591836734693877,1.1666666666666667,tatoeba
"Биирдэ баран эттэххэ, кини хайдаҕа да миэхэ син биир.","откровенно говоря, мне безразлично, какой он есть.",9,10,53,50,0.9433962264150944,1.1111111111111112,tatoeba
"Биирдэ санаатахха, ол эмиэ даҕаны сөптөөх курдук.","впрочем, и это тоже как будто правильно.",7,9,49,40,0.8163265306122449,1.2857142857142858,tatoeba
"Биириһинэн, үөрэҕэр үчүгэй, иккиһинэн, үчүгэй общественник.","во-первых, он хорошо учится, во-вторых, хороший общественник.",6,11,59,61,1.0338983050847457,1.8333333333333333,tatoeba
"Биириһинэн, үөрэҕэр үчүгэй, иккиһинэн, үчүгэй общественник.","во-первых, она хорошо учится, во-вторых, хороший общественник.",6,11,59,62,1.0508474576271187,1.8333333333333333,tatoeba
Сир үрдүгэр араас биистэр уонна норуоттар олороллор.,на земле живут разные племена и народности.,7,8,52,43,0.8269230769230769,1.1428571428571428,tatoeba
Бу дойдуга куобах бииһээбит дойдута.,в этой местности расплодились зайцы.,5,6,36,36,1.0,1.2,tatoeba
Илини арҕааны билбэт.,"он не различает, где восток, где запад.",3,10,21,39,1.8571428571428572,3.3333333333333335,tatoeba
"Билэҕин дуо, мин онно барыахпын оччо баҕарбаппын ээ.","знаешь, мне не очень хочется туда пойти.",8,9,52,40,0.7692307692307693,1.125,tatoeba
Оҕонньор билгэтинэн сотору атыыр ардах буолуохтаах.,"по приметам стариков, скоро пойдёт ливень.",6,8,51,42,0.8235294117647058,1.3333333333333333,tatoeba
Күөл уута билгэйбит.,вода переполнила озеро.,3,4,20,23,1.15,1.3333333333333333,tatoeba
Симиир кымыһынан билгэйбит.,кожаный мех полон кумыса.,3,5,27,25,0.9259259259259259,1.6666666666666667,tatoeba
Симиир кымыһынан билгэйбит.,бурдюк полон кумыса.,3,4,27,20,0.7407407407407407,1.3333333333333333,tatoeba
Кырдьаҕастарга күнү дьылы билгэлэтий.,а ты попроси стариков предсказать погоду.,4,7,37,41,1.1081081081081081,1.75,tatoeba
Били киһибит ханна тиийдэ?,куда же делся тот человек?,4,6,26,26,1.0,1.5,tatoeba
Били хонууга кэллибит.,мы пришли на ту самую поляну.,3,7,22,29,1.3181818181818181,2.3333333333333335,tatoeba
"Били, мин оччоҕо барыахтаах этим дии.","помнишь, я тогда должен был ехать.",6,8,37,34,0.918918918918919,1.3333333333333333,tatoeba
Билигин эрэ көрдүм бу киһини.,я только теперь увидел этого человека.,5,7,29,38,1.3103448275862069,1.4,tatoeba
Саха сирин алмааһа аан дойдуга билиннэ.,алмазы якутии стали известны всему миру.,6,7,39,40,1.0256410256410255,1.1666666666666667,tatoeba
"Биллэн турар, эн итиниэхэ сөбүлэспэккин.","разумеется, ты на это не согласишься.",5,8,40,37,0.925,1.6,tatoeba
"Биллэн турар, сааһын билбэтэ.","известное дело, он возраст свой не знал.",4,9,29,40,1.3793103448275863,2.25,tatoeba
Билиннэххэ хайата да куһаҕан.,"признаться, и то, и другое плохо.",4,9,29,33,1.1379310344827587,2.25,tatoeba
Ити дьону билитэлиибин.,я знаю всех этих людей.,3,6,23,23,1.0,2.0,tatoeba
Киинэҕэ билиэт бүппүт.,билеты в кино кончились.,3,5,22,24,1.0909090909090908,1.6666666666666667,tatoeba
Оҕолор ууну кэһэн биллиргэттилэр.,ребята шумно брели по воде.,4,6,33,27,0.8181818181818182,1.5,tatoeba
Ити туох биллиргиирий?,что это там булькает?,3,5,22,21,0.9545454545454546,1.6666666666666667,tatoeba
"Биллэр, миэхэ үтүөнү санаабат.","известное дело, он мне добра не желает.",4,9,30,39,1.3,2.25,tatoeba
Түргэнник биллэрбэхтээ.,сообщи об этом поскорее.,2,5,23,24,1.0434782608695652,2.5,tatoeba
Билбэт аата билээҕимсийэр.,"он ничего не знает, но выдаёт себя за знатока.",3,11,26,46,1.7692307692307692,3.6666666666666665,tatoeba
Биһиги спортсмеммыт бириистээх миэстэҕэ таҕыста.,наш спортсмен занял призовое место.,5,6,48,35,0.7291666666666666,1.2,tatoeba
Күүлэйдииригэр бириэмэлээх.,у него есть время для прогулок.,2,7,27,31,1.1481481481481481,3.5,tatoeba
"Бирээмэ, киһини сүгүн олорпот.",он прямо-таки не даёт человеку спокойно посидеть.,4,8,30,49,1.6333333333333333,2.0,tatoeba
Соҥҥун кырааскаҕа биспиккин.,ты своё пальто испачкал краской.,3,6,28,32,1.1428571428571428,2.0,tatoeba
Барыта биһигиттэн бэйэбититтэн тутулуктаах.,всё зависит от нас самих.,4,6,43,25,0.5813953488372093,1.5,tatoeba
Биһиги дьыалабыт кырдьыктаах.,наше дело правое.,3,4,29,17,0.5862068965517241,1.3333333333333333,tatoeba
"Ыл, биирдэ омуртар!","ну, дай мне раз глотнуть!",3,7,19,25,1.3157894736842106,2.3333333333333335,tatoeba
"Ылыҥ, көрдөрүҥ.","давайте, покажите.",2,4,15,18,1.2,2.0,tatoeba
Барыахтарыттан ыла сылдьыбатах.,"с тех пор, как они уехали, он не заходил.",3,12,31,41,1.3225806451612903,4.0,tatoeba
Итиннэ ылбычча киһи соруммат.,не всякий осмелится взяться за это.,4,7,29,35,1.206896551724138,1.75,tatoeba
Ырыата ылланна.,его песенка спета.,2,4,15,18,1.2,2.0,tatoeba
Ылбайга быһахтаммыкка дылы.,как с ножом на малька.,3,6,27,22,0.8148148148148148,2.0,tatoeba
Ылбайга быһахтаммыкка дылы.,стрелять из пушки по воробьям.,3,6,27,30,1.1111111111111112,2.0,tatoeba
Ааннарын саппат буолла.,он часто ходит к ним.,3,6,23,21,0.9130434782608695,2.0,tatoeba
Ааннарын саппат буолла.,он часто посещает их.,3,5,23,21,0.9130434782608695,1.6666666666666667,tatoeba
Ааннарын саппат буолла.,он и не закрывает их дверь.,3,7,23,27,1.173913043478261,2.3333333333333335,tatoeba
Бүтэйи киэҥ ааннааҥ.,сделайте в изгороди широкие ворота.,3,6,20,35,1.75,2.0,tatoeba
Аанньа киһи итинник буолбат.,порядочный человек таким не бывает.,4,6,28,35,1.25,1.5,tatoeba
Бу хайа аанньа үлэний?,разве это хорошая работа?,4,5,22,25,1.1363636363636365,1.25,tatoeba
Аанньаҕа кэлбэтэҕэ буолуо.,"он, вероятно, пришёл с недобрыми намерениями .",3,9,26,46,1.7692307692307692,3.0,tatoeba
Киһи ыйыппытын аанньа эттэҕэ.,"он сказал только потому, что его спросили.",4,9,29,42,1.4482758620689655,2.25,tatoeba
Сыппытым аанньа сытан барабын.,лежу и не хочу вставать.,4,6,30,24,0.8,1.5,tatoeba
Сыппытым аанньа сытан барабын.,"как лежал, так и хочется лежать.",4,8,30,32,1.0666666666666667,2.0,tatoeba
Өссө аанньалаах үлэни үлэлээбэтим.,я ещё ничего путного не сделал.,4,7,34,31,0.9117647058823529,1.75,tatoeba
Аанньата суох үлэһит.,он неважный работник.,3,4,21,21,1.0,1.3333333333333333,tatoeba
Ааттаспыт киһи аам-дьаамы кытыарар.,человек уговорами объединяет даже разрозненное.,4,6,35,47,1.3428571428571427,1.5,tatoeba
Ыскааптааҕы кинигэлэри ким аамайдаата?,кто перепутал книги в шкафу?,4,6,38,28,0.7368421052631579,1.5,tatoeba
Сүөһүнү аамайдаама.,не разгоняй скот.,2,4,19,17,0.8947368421052632,2.0,tatoeba
Ааттаспыт аалы көтөҕөр.,мольбой человек и плот с места сдвигает.,3,8,23,40,1.7391304347826086,2.6666666666666665,tatoeba
Аалын баһа хоҥнон биэрбэт.,нос его лодки никак не сдвигается.,4,7,26,34,1.3076923076923077,1.75,tatoeba
Аалын баһа хоҥнон биэрбэт.,он медлит.,4,3,26,10,0.38461538461538464,0.75,tatoeba
Аалын баһа хоҥнон биэрбэт.,он мешкает.,4,3,26,11,0.4230769230769231,0.75,tatoeba
"Аал уоту отун, иэримэ дьиэни тэрин.","обзаведись уютным домом, разведи неугасаемый огонь.",6,8,35,51,1.457142857142857,1.3333333333333333,tatoeba
Ааллахха оннооҕор тимиртэн арыы тахсар.,"если усердно тереть, то даже и на железе появляется масло.",5,12,39,58,1.4871794871794872,2.4,tatoeba
Томын хараҕын аалларар.,он терпеть не может тома.,3,6,23,25,1.0869565217391304,2.0,tatoeba
Уулуссаҕа дьон ааллаһаллар.,на улице толпится народ.,3,5,27,24,0.8888888888888888,1.6666666666666667,tatoeba
Бииргэ аалсан олоробут.,мы живём в тесном общении.,3,6,23,26,1.1304347826086956,2.0,tatoeba
Сылгы маска аалынар.,лошадь трётся о дерево.,3,5,20,23,1.15,1.6666666666666667,tatoeba
Быһаҕын аалынар.,он подтачивает свой нож.,2,5,16,24,1.5,2.5,tatoeba
Быһа аалыллыбыт.,верёвка перетёрлась.,2,3,16,20,1.25,1.5,tatoeba
Халлаан сулуһун аахпыкка дылы.,"это всё равно, что пытаться сосчитать звёзды на небе.",4,11,30,53,1.7666666666666666,2.75,tatoeba
Кинини үчүгэй үлэһитинэн ааҕаллар.,его считают хорошим работником.,4,5,34,31,0.9117647058823529,1.25,tatoeba
Бэркэ аахайан иһиттилэр.,они слушали с большим вниманием.,3,6,24,32,1.3333333333333333,2.0,tatoeba
"Үрдэр антах, өҕүрүйдэр бэттэх.","выдохнешь — он туда, вдохнёшь — он сюда.",4,10,30,40,1.3333333333333333,2.5,tatoeba
Тугу үрэҕин?,что ты лаешься?,2,4,12,15,1.25,2.0,tatoeba
Ыт кустары үргүттэ.,собака вспугнула уток.,3,4,19,22,1.1578947368421053,1.3333333333333333,tatoeba
Аҕыс үүдэһиним араҕыста.,"я от усталости без рук, без ног.",3,9,24,32,1.3333333333333333,3.0,tatoeba
Аҕыс үүдэһиним араҕыста.,восемь моих связок разошлись.,3,5,24,29,1.2083333333333333,1.6666666666666667,tatoeba
Саа хайдыбыт маһа ньаалбаанынан үүйүллүбүт.,расколотое ложе ружья скреплено жестью.,5,6,43,39,0.9069767441860465,1.2,tatoeba
Оҕолор ийэлэрин үүйэ-хаайа туттулар.,дети с просьбами окружили мать.,4,6,36,31,0.8611111111111112,1.5,tatoeba
Ыар санаалар үүйэ-хаайа туталлар.,его охватили тяжёлые думы.,4,5,33,26,0.7878787878787878,1.25,tatoeba
Элбэх специалиһы үүннэрдэ.,он вырастил многих специалистов.,3,5,26,32,1.2307692307692308,1.6666666666666667,tatoeba
Тайҕаҕа куораты үүннэрдибит.,мы воздвигли город в тайге.,3,6,28,27,0.9642857142857143,2.0,tatoeba
Куораты күөх үүнээйи киэргэтэр.,зелень украшает город.,4,4,31,22,0.7096774193548387,1.0,tatoeba
Ыт тайаҕы үүрдэ.,собака погналась за лосем.,3,5,16,26,1.625,1.6666666666666667,tatoeba
Хараҕын үүтэ көстүбэт буолла.,он разгневался.,4,3,29,15,0.5172413793103449,0.75,tatoeba
Хараҕын үүтэ көстүбэт буолла.,он вышел из себя.,4,5,29,17,0.5862068965517241,1.25,tatoeba
Кыыс үүт-үкчү ийэтин курдук.,девочка — вылитая мать.,4,5,28,23,0.8214285714285714,1.25,tatoeba
Остуол атаҕа оодьоччу барбыт.,ножки стола покосились.,4,4,29,23,0.7931034482758621,1.0,tatoeba
"Оок-сиэ, кэрэ да дойду!","о, какая прекрасная страна!",4,6,23,27,1.173913043478261,1.5,tatoeba
"Оок-сиэ, итини сатаабаккын дуо?","ну, неужели ты не можешь этого?",4,8,31,31,1.0,2.0,tatoeba
"Оок-сиэ, мээнэттэн даҕаны соһуйбуппун!","эх, я, оказывается, испугался такого пустяка!",4,10,38,45,1.1842105263157894,2.5,tatoeba
"Ооккобун, тоҥмутун даа!","деточка моя, как она замерзла!",3,7,23,30,1.3043478260869565,2.3333333333333335,tatoeba
Оонньуура кырдьыга биллибэт.,шутит он или всерьёз — непонятно.,3,7,28,33,1.1785714285714286,2.3333333333333335,tatoeba
Киһи бөҕө эбиккин.,"оказывается, ты ужасный человек.",3,6,18,32,1.7777777777777777,2.0,tatoeba
Хаһыы бөҕөнү түһэрдэ.,он орал во всё горло.,3,6,21,21,1.0,2.0,tatoeba
Эрэй бөҕөнөн аҕаллым.,я с большим трудом принёс это.,3,7,21,30,1.4285714285714286,2.3333333333333335,tatoeba
"Дьэ, кавалер бөҕө!",ну и кавалер!,3,4,18,13,0.7222222222222222,1.3333333333333333,tatoeba
"Биэрдэхтэринэ, ылан бөҕө.","если дадут, я возьму с удовольствием.",3,8,25,37,1.48,2.6666666666666665,tatoeba
Барсан бөҕө.,я охотно пойду с вами.,2,6,12,22,1.8333333333333333,3.0,tatoeba
Өрөмүөн кэнниттэн күргэ бөҕөргөөбүт.,после ремонта мост стал прочным.,4,6,36,32,0.8888888888888888,1.5,tatoeba
Кини балаһыанньата бөҕөргөөтө.,его положение укрепилось.,3,4,30,25,0.8333333333333334,1.3333333333333333,tatoeba
Кыайыахпыт диэн бөҕөхпүн.,"я уверен, что мы победим.",3,7,25,25,1.0,2.3333333333333335,tatoeba
"Наһаа айманыма, бөҕөхсүй.","слишком не горюй, крепись.",3,6,25,26,1.04,2.0,tatoeba
Илиим бөҕүөрдэ.,у меня закоченели руки.,2,5,15,23,1.5333333333333334,2.5,tatoeba
Дьиэ бөҕүрбүт.,в доме насорено.,2,4,14,16,1.1428571428571428,2.0,tatoeba
Оҕонньор кырдьан бөкчөйбүт.,старик от старости сгорбился.,3,5,27,29,1.0740740740740742,1.6666666666666667,tatoeba
Сүөһү барыта күлүккэ бөлүөхпүт.,весь скот скучился в тени.,4,6,31,26,0.8387096774193549,1.5,tatoeba
Болуоссакка дьон бөҕө бөлүөхсүбүт.,на площади столпилось множество людей.,4,6,34,38,1.1176470588235294,1.5,tatoeba
Бөлүүн хаар түспүт.,ночью выпал снег.,3,4,19,17,0.8947368421052632,1.3333333333333333,tatoeba
Бөлүүҥҥү түүлүм өйбүттэн-санаабыттан арахсыбат.,увиденный ночью сон не выходит у меня из головы.,4,10,47,48,1.0212765957446808,2.5,tatoeba
Бөппүрүөктэһэн тыл тылларыгар киирсибэтилэр.,они оба заупрямились и не нашли общего языка.,4,9,44,45,1.0227272727272727,2.25,tatoeba
Аҕам биир бөрөлөөх.,мой отец принёс с охоты волка.,3,7,19,30,1.5789473684210527,2.3333333333333335,tatoeba
"Булчуттары кытта бөрөлөһөн, икки бөрөнү өлөрдүм.",я вместе с охотниками охотился на волков и убил двух.,6,11,48,53,1.1041666666666667,1.8333333333333333,tatoeba
Хайдах эмэ бөрөөн үлэбин бүтэрдэрбин.,надо бы мне как-нибудь закончить свою работу.,5,8,37,45,1.2162162162162162,1.6,tatoeba
Хайдах эмэ бөрөөн үлэбин бүтэрдэрбин.,надо бы мне уж закруглиться.,5,6,37,28,0.7567567567567568,1.2,tatoeba
Ыт бөрөнү кытта сырыттаҕына бөрөтүйэр.,"собака, находясь с волком, становится волком.",5,9,38,45,1.1842105263157894,1.8,tatoeba
Остуол анныгар хара ыт бөскөйө сытар.,под столом лежит толстая чёрная собака.,6,7,37,39,1.054054054054054,1.1666666666666667,tatoeba
Бачча бөтөс үлэни үлэлээбэт буолуо дуо!,такой удалец разве не будет работать!,6,7,39,37,0.9487179487179487,1.1666666666666667,tatoeba
Оҕолор бөтүөхтэспитинэн дьиэҕэ көтөн түстүлэр.,"ребята, запыхавшись, ворвались в дом.",5,8,46,37,0.8043478260869565,1.6,tatoeba
Оҕо ытаан бөтүөхтээтэ.,"ребёнок заплакал, глубоко всхлипывая.",3,6,22,37,1.6818181818181819,2.0,tatoeba
Эт бөһүйэн ирэр.,мясо оттаивает и становится мягким.,3,6,16,35,2.1875,2.0,tatoeba
Эти бөһүтэн баран эттээ.,"мясо сначала оттаивай, а потом руби.",4,8,24,36,1.5,2.0,tatoeba
"Чэ, түксү бөтүөхтээмэ!","ну, перестань вздыхать!",3,5,22,23,1.0454545454545454,1.6666666666666667,tatoeba
Былыт уутуйбут.,нависли дождевые тучи.,2,4,15,22,1.4666666666666666,2.0,tatoeba
Былыт уутуйбут.,тучи наполняются дождём.,2,4,15,24,1.6,2.0,tatoeba
Быйыл саһыл үчү-гэйдик ууһаата.,в этом году расплодились лисицы.,4,6,31,32,1.032258064516129,1.5,tatoeba
Атым уурастаата.,мой конь заупрямился.,2,4,16,21,1.3125,2.0,tatoeba
Уустугур-дар уустугуран иһэр.,техника всё более совершенствуется.,3,5,29,35,1.206896551724138,1.6666666666666667,tatoeba
Элбэхтик үлэлиибин диэн үҥсэргиир.,"он сетует, что много работает.",4,7,34,30,0.8823529411764706,1.75,tatoeba
Суукка үҥээччи быһыытынан эттэ.,он выступил в суде в качестве истца.,4,8,31,36,1.1612903225806452,2.0,tatoeba
Сон сиэх-тэрэ унньу-санньы тигиллибиттэр.,рукава пальто сшиты неаккуратно.,4,5,41,32,0.7804878048780488,1.25,tatoeba
Сон сиэх-тэрэ унньу-санньы тигиллибиттэр.,один рукав пальто короче другого.,4,6,41,33,0.8048780487804879,1.5,tatoeba
Ыт боруокка унньуйан сытар.,собака вытянулась у порога.,4,5,27,27,1.0,1.25,tatoeba
Том унньу-санньы үлэлиир.,том работает вяло.,3,4,25,18,0.72,1.3333333333333333,tatoeba
Ырбаахыта сиринэн унньулуйар.,её платье волочится по земле.,3,6,29,29,1.0,2.0,tatoeba
Мария хоһоону үчүгэйдик ааҕааччы.,мария хорошо читает стихи.,4,5,33,26,0.7878787878787878,1.25,tatoeba
Быйыл сурунаал элбэх ааҕааччыламмыт.,в этом году журнал приобрёл много читателей.,4,8,36,44,1.2222222222222223,2.0,tatoeba
Сүөһү барыта ааҕылынна.,весь скот пересчитан.,3,4,23,21,0.9130434782608695,1.3333333333333333,tatoeba
Бу хаһаайыстыба табата тыһыынчанан ааҕыллар.,олени этого хозяйства исчисляются тысячами.,5,6,44,43,0.9772727272727273,1.2,tatoeba
Том бастыҥ үлэһитинэн ааҕыллар.,том считается лучшим работником.,4,5,31,32,1.032258064516129,1.25,tatoeba
Том харчытын ааҕынна.,том сосчитал свои деньги.,3,5,21,25,1.1904761904761905,1.6666666666666667,tatoeba
Том күүстэҕинэн ааҕынар.,том считает себя силачом.,3,5,24,25,1.0416666666666667,1.6666666666666667,tatoeba
Сыгынньах илиинэн ылыаҥ суоҕа.,его голыми руками не возьмёшь.,4,6,30,30,1.0,1.5,tatoeba
Тириини хоччорхойдуу имитиллибэт.,"кожу не мнут, не замочив.",3,7,33,25,0.7575757575757576,2.3333333333333335,tatoeba
Сэмэлээн кинини арай эн хотутуоҥ.,"его, пожалуй, только ты и проймёшь.",5,9,33,35,1.0606060606060606,1.8,tatoeba
Хараҕын уута саккырыыр.,у него слёзы текут ручьями.,3,6,23,27,1.173913043478261,2.0,tatoeba
Хараҕын уута саккырыыр.,у неё слёзы текут ручьями.,3,6,23,26,1.1304347826086956,2.0,tatoeba
